Feature,Importance
Bare_Soil,0.17806299744080548
UI,0.15644767815596228
NDBI,0.14798834998620583
Ferrous_Minerals,0.13778519036452036
SAVI,0.0953471997043359
IBI,0.08884256122396947
NDVI,0.048863227317487094
EVI,0.03812716554458791
Carbonate,0.0353220574564686
B08,0.022382828165729004
B11,0.017023199581349444
Brightness,0.014316808498143218
NDWI,0.008351017603884481
B12,0.004716620806465692
B06,0.0018744512200137037
B03,0.00185337345593526
MNDWI,0.0014499612863400227
B04,0.0008250173798868471
B05,0.0001537465666714108
Clay_Minerals,0.00010139776288379511
B02,9.576606896730294e-05
B07,5.736469553650376e-05
Iron_Oxide,1.201971385050918e-05
